,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
0,22,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,2012-06-28-20-30,"south san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,gemini,sometimes,english,single
1,35,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,2012-06-29-21-41,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,cancer,no,"english (fluently), spanish (poorly), french (poorly)",single
7,31,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,f,sagittarius,no,"english, spanish (okay)",single
14,29,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000,other,2012-06-29-08-55,"san leandro, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,catholicism,f,taurus,no,english,single
19,33,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
22,30,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,2012-06-28-15-22,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
36,32,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",single
44,29,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,other,2012-06-10-13-28,"san francisco, california",doesn&rsquo;t have kids,bisexual,has cats,other,f,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",single
49,26,athletic,mostly anything,socially,never,graduated from college/university,white,66.0,-1,science / tech / engineering,2012-06-28-07-59,"belmont, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
72,35,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73.0,150000,artistic / musical / writer,2012-06-29-00-25,"emeryville, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)",single
94,29,fit,mostly anything,socially,sometimes,graduated from college/university,white,67.0,40000,artistic / musical / writer,2012-05-28-15-18,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism and very serious about it,m,libra,no,english (fluently),single
